URL_ID,URL,POSIIVE_SCORE,NEGATIVE_SCORE,POLARITY_SCORE,SUBJECTIVITY_SCORE,AVERAGE_SENTENCE_LENGTH,PERCENTAGE_OF_COMPLEX_WORDS,FOG_INDEX,COMPLEX_WORD_COUNT,TOTAL_WORD_COUNT,SYLLABLE_PER_WORD,PERSONAL_PRONOUNS,AVERAGE_WORD_LENGTH
blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,16,2,0.7777777345679036,0.03461538454881657,17.93103448275862,21.53846153846154,15.787798408488065,112,520,1.8711538461538462,6,5.196153846153846
blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,68,30,0.38775509808413167,0.06310367027488495,19.4125,25.17707662588538,17.835830650354154,391,1553,1.9536381197681907,8,5.561493882807469
blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,48,25,0.31506848883467825,0.05964052282709107,20.065573770491802,33.33333333333333,21.359562841530053,408,1224,2.150326797385621,15,6.08578431372549
blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,47,76,-0.2357723558067288,0.10098522159196614,21.75,31.527093596059114,21.310837438423647,384,1218,2.11247947454844,7,5.997536945812808
blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,31,9,0.5499999862500004,0.04716981126512994,19.72093023255814,24.056603773584907,17.51101360245722,204,848,1.900943396226415,8,5.602594339622642
blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,94,26,0.5666666619444445,0.061349693220168866,23.011764705882353,28.2719836400818,20.513499338385664,553,1956,2.0276073619631902,8,5.983640081799591
blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,31,44,-0.17333333102222226,0.06868131861842369,17.333333333333332,24.816849816849818,16.86007326007326,271,1092,1.9212454212454213,3,5.394688644688645
blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,39,10,0.5918367226155771,0.05396475764981855,17.46153846153846,36.12334801762114,21.43395459166384,328,908,2.2334801762114536,5,6.3381057268722465
blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,52,51,0.00970873776981808,0.09423604748926252,17.918032786885245,34.49222323879231,20.964102410271025,377,1093,2.2278133577310157,5,6.314730100640439
blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,70,69,0.007194244552559392,0.07979334094156525,20.738095238095237,27.38231917336395,19.248165764583675,477,1742,1.9408725602755454,10,5.36337543053961
